acousticness,danceability,instrumentalness,liveness,speechiness,valence,energy,track_id,name
0.07060000000000001,0.876,0.0,0.14300000000000002,0.0478,0.428,0.498,31i56LZnwE6uSu3exoHjtB,Neverita
0.229,0.663,0.0,0.219,0.195,0.579,0.786,1797zYiX4cKosMH836X9Gt,La Corriente
0.0495,0.612,0.0177,0.101,0.033600000000000005,0.398,0.807,2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather
0.719,0.559,0.000143,0.0954,0.039,0.402,0.535,3i058E8uxTsYqJ5NWZzqSj,Little Freak
0.423,0.861,0.000592,0.34900000000000003,0.0743,0.668,0.645,2uflssWlCaJ6CbTMOsUpNI,Aguacero
0.0575,0.796,0.000683,0.10300000000000001,0.37,0.71,0.68,2rDZhKnPaPG054ExZ6nXUS,Jordan
0.762,0.797,0.00029299999999999997,0.0979,0.375,0.451,0.616,44XjoNvtwevktFKjvVe1vH,Andrea
0.72,0.629,0.0031400000000000004,0.0604,0.055,0.197,0.547,75FEaRjZTKLhTrFGsfMUXR,Running Up That Hill (A Deal With God)
0.459,0.805,0.0,0.28800000000000003,0.0979,0.966,0.418,1BkY0N8ChFk2mdLbAUu8ZK,Pass The Dutchie
0.8150000000000001,0.49,0.000187,0.114,0.026600000000000002,0.136,0.398,1b0aDgrG775i4sPQgJGmkU,Tak Ingin Usai
0.00134,0.442,0.0,0.432,0.0695,0.388,0.922,3ujiq7yK4Uan5z4876fHLK,Layla
0.14100000000000001,0.5750000000000001,0.0,0.09380000000000001,0.281,0.811,0.758,2sWWu68ZmobaPdwPsC4RXs,EU JÁ SOFRI POR AMOR MAS NÃO SOFRO MAIS
0.727,0.539,0.0,0.17400000000000002,0.028800000000000003,0.227,0.508,0T5iIrXA4p5GsubkhuBIKV,Until I Found You
0.458,0.864,0.0008700000000000001,0.124,0.273,0.654,0.41200000000000003,1I4lCSP69P74nU3a6Su5L2,Jiggle Jiggle
0.0053,0.633,0.28,0.145,0.229,0.373,0.433,2WzAAerBvZvvFXgUpSwHZ9,MIDNIGHT
0.185,0.581,2.96e-06,0.047900000000000005,0.0658,0.184,0.495,11AkXmBdjwu4upt22GjJrG,Olmazlara İnat
0.187,0.876,1.71e-06,0.666,0.341,0.876,0.359,6hFwju6M40CKovKBPu5IpY,ACORDA PEDRINHO
0.0427,0.746,0.0014600000000000001,0.552,0.109,0.687,0.7000000000000001,3a0F2N6rXJSibQTp77xH4f,Ohne Benzin
0.0128,0.482,0.0,0.10300000000000001,0.0533,0.281,0.881,1oYQtNQUxSODedcc5hPmp9,Muli
0.735,0.662,1.65e-05,0.0863,0.0548,0.617,0.4,6r8nR2JGKT9k4lnaSTdKkZ,Jhoom R&B Mix
0.08,0.647,1.34e-06,0.528,0.0413,0.268,0.686,3k3NWokhRRkEPhCzPmV8TW,Ojitos Lindos
0.0166,0.578,0.0036200000000000004,0.273,0.114,0.68,0.912,40SBS57su9xLiE1WqkXOVr,Afraid To Feel
0.0264,0.429,0.0137,0.135,0.0297,0.26,0.709,4N6YcqNkrAxelsd33JoFWQ,Serana
0.0903,0.758,0.0,0.0902,0.108,0.424,0.674,7ArVzlFsFsQXNseVXmdOyk,NVMD
0.395,0.581,5.34e-06,0.197,0.0383,0.533,0.619,0cPvRrV9PBBHVfHoGBlFdO,Hell's Comin' with Me
0.0828,0.66,0.00144,0.099,0.0762,0.318,0.529,7toL7Re9rApzIuIFDaLQSe,Bi' Tek Ben Anlarım
0.466,0.6960000000000001,8.609999999999999e-06,0.0983,0.0438,0.965,0.623,2NWaWZZLFMcr5P4uI2KvWy,En El Radio Un Cochinero
0.0103,0.438,1.22e-05,0.442,0.0465,0.182,0.489,7r6xGsyES2DTacyP6O585i,Never Ending Story
0.518,0.6000000000000001,0.00301,0.19,0.444,0.321,0.541,62nygHWpn3wLwnZmJ8keVs,Aşk Sadece Anlayana
0.179,0.557,0.0,0.106,0.2,0.432,0.794,5W7DOVGQLTigu09afW7QMT,295
0.321,0.763,0.0,0.115,0.183,0.496,0.663,0FOBJ5PbwOe5XBY9y0bnhi,BTBT (feat. DeVita)
0.791,0.544,0.0,0.11,0.0334,0.335,0.307,1ZiReD9pPTttQWwSoYqdyH,Aankhon Se Batana
0.17,0.807,0.0,0.164,0.23700000000000002,0.961,0.75,6A3SB2C4U6JtCavQOXLYNN,Je M'appelle
0.329,0.486,0.0,0.121,0.0287,0.184,0.421,7z5rmdisSV8GmWCnrOd1HU,Porselen Kalbim
